Timestamp(ms),CO_PPM,Temperature(C),Pressure(hPa),Humidity(%),Altitude(m),Status
754590,8.73,18.74,1005.29,40.73,66.44,Warning
756610,9.33,18.74,1005.30,40.71,66.37,Warning
758630,10.15,18.74,1005.31,40.74,66.34,Warning
760650,9.74,18.74,1005.31,40.80,66.34,Warning
762670,8.93,18.74,1005.31,40.92,66.31,Warning
764690,8.73,18.75,1005.31,41.01,66.28,Warning
766712,8.73,18.75,1005.32,41.02,66.23,Warning
768732,9.74,18.75,1005.32,40.98,66.23,Warning
770752,9.74,18.75,1005.33,40.92,66.19,Warning
772772,9.13,18.75,1005.32,40.92,66.20,Warning
774792,8.35,18.75,1005.33,40.95,66.17,Warning
776812,7.59,18.75,1005.33,40.98,66.16,Warning
778832,9.33,18.75,1005.33,40.95,66.13,Warning
780852,9.53,18.75,1005.33,40.93,66.12,Warning
782872,8.15,18.75,1005.33,40.95,66.15,Warning
784892,8.15,18.75,1005.33,40.93,66.12,Warning
786912,7.97,18.75,1005.34,40.95,66.08,Warning
788934,8.15,18.74,1005.34,40.92,66.08,Warning
790954,8.15,18.74,1005.35,40.96,66.01,Warning
792974,7.97,18.74,1005.35,40.93,66.02,Warning
794994,8.15,18.74,1005.35,40.96,66.01,Warning
797014,8.93,18.74,1005.35,40.99,65.97,Warning
799034,8.93,18.74,1005.36,40.98,65.93,Warning
801054,9.53,18.73,1005.35,41.04,65.95,Warning
803074,9.53,18.73,1005.35,41.05,65.94,Warning
805094,8.93,18.73,1005.36,41.04,65.91,Warning
807114,8.35,18.73,1005.36,41.02,65.87,Warning
809136,8.35,18.72,1005.37,40.99,65.83,Warning
811156,7.97,18.72,1005.37,40.97,65.81,Warning
813176,7.05,18.72,1005.37,40.94,65.81,Warning
815196,6.52,18.72,1005.37,40.96,65.83,Warning
817216,6.35,18.72,1005.37,40.97,65.82,Warning
819236,6.87,18.72,1005.37,40.97,65.81,Warning
821256,7.05,18.71,1005.37,40.98,65.82,Warning
823276,7.78,18.71,1005.38,40.99,65.73,Warning
825296,8.35,18.71,1005.38,40.99,65.72,Warning
827316,8.35,18.71,1005.38,41.03,65.74,Warning
829336,8.73,18.71,1005.38,41.06,65.73,Warning
831358,8.15,18.71,1005.38,41.06,65.74,Warning
833378,7.59,18.71,1005.38,41.06,65.74,Warning
835398,7.97,18.70,1005.37,41.04,65.78,Warning
837418,8.73,18.70,1005.38,41.05,65.75,Warning
839438,8.35,18.70,1005.38,41.07,65.73,Warning
841458,8.73,18.70,1005.39,41.10,65.69,Warning
843478,8.35,18.70,1005.38,41.11,65.69,Warning
845498,7.78,18.69,1005.38,41.07,65.70,Warning
847518,7.41,18.69,1005.38,41.07,65.74,Warning
849538,7.41,18.69,1005.38,41.04,65.71,Warning
851558,7.23,18.69,1005.39,41.03,65.67,Warning
853580,6.87,18.69,1005.39,41.00,65.68,Warning
855600,6.52,18.69,1005.39,40.95,65.68,Warning
857620,6.18,18.69,1005.39,40.94,65.68,Warning
859640,6.18,18.69,1005.39,40.94,65.68,Warning
861660,6.35,18.68,1005.38,40.94,65.71,Warning
863680,7.05,18.68,1005.38,40.96,65.72,Warning
865700,7.41,18.68,1005.38,41.00,65.73,Warning
867720,7.41,18.68,1005.38,40.94,65.75,Warning
869740,7.05,18.68,1005.38,40.93,65.72,Warning
871760,6.87,18.67,1005.38,40.95,65.72,Warning
873780,7.05,18.67,1005.38,40.88,65.71,Warning
875802,7.05,18.67,1005.38,40.87,65.70,Warning
877822,7.78,18.67,1005.39,40.80,65.67,Warning
879842,8.54,18.67,1005.38,40.78,65.69,Warning
881862,8.35,18.67,1005.39,40.79,65.63,Warning
883882,8.73,18.67,1005.40,40.68,65.60,Warning
885902,9.13,18.67,1005.39,40.78,65.62,Warning
887922,8.93,18.67,1005.39,40.93,65.61,Warning
889942,9.13,18.67,1005.39,40.87,65.61,Warning
891962,9.53,18.67,1005.39,40.78,65.64,Warning
893982,9.33,18.66,1005.38,40.77,65.72,Warning
896002,9.33,18.66,1005.39,40.74,65.67,Warning
898030,8.15,18.67,1005.40,40.70,65.59,Warning
900050,7.59,18.67,1005.40,40.70,65.59,Warning
902070,7.78,18.67,1005.40,40.73,65.57,Warning
904090,8.15,18.67,1005.40,40.77,65.55,Warning
906110,7.59,18.67,1005.40,40.82,65.57,Warning
908130,8.54,18.67,1005.41,40.77,65.52,Warning
910150,7.78,18.67,1005.41,40.72,65.50,Warning
912170,6.52,18.67,1005.41,40.77,65.50,Warning
914190,6.35,18.66,1005.39,40.77,65.66,Warning
916210,7.23,18.66,1005.39,40.73,65.65,Warning
918230,7.59,18.67,1005.39,40.72,65.63,Warning
920252,7.97,18.67,1005.39,40.72,65.65,Warning
922272,7.59,18.67,1005.39,40.71,65.63,Warning
924292,7.41,18.67,1005.40,40.71,65.57,Warning
926312,7.05,18.67,1005.40,40.70,65.54,Warning
928332,7.23,18.67,1005.41,40.67,65.48,Warning
930352,7.41,18.67,1005.41,40.63,65.48,Warning
932372,6.18,18.67,1005.41,40.61,65.47,Warning
934392,5.68,18.67,1005.41,40.57,65.45,Warning
936412,5.68,18.67,1005.41,40.59,65.46,Warning
938439,5.84,18.66,1005.41,40.57,65.48,Warning
940459,6.35,18.66,1005.41,40.59,65.47,Warning
942481,6.18,18.66,1005.41,40.57,65.46,Warning
944501,5.84,18.66,1005.41,40.59,65.45,Warning
946521,6.01,18.66,1005.41,40.60,65.46,Warning
948541,6.18,18.66,1005.41,40.57,65.46,Warning
950561,6.35,18.66,1005.42,40.56,65.43,Warning
952581,6.01,18.66,1005.42,40.61,65.41,Warning
954601,5.84,18.66,1005.42,40.63,65.40,Warning
956621,6.01,18.65,1005.42,40.61,65.41,Warning
958641,5.84,18.65,1005.42,40.66,65.39,Warning
960661,5.52,18.65,1005.42,40.78,65.44,Warning
962681,5.84,18.65,1005.41,40.79,65.45,Warning
964703,6.87,18.65,1005.41,40.78,65.45,Warning
966723,6.35,18.65,1005.41,40.79,65.50,Warning
968743,6.18,18.65,1005.41,40.79,65.46,Warning
970763,6.01,18.64,1005.41,40.83,65.48,Warning
972783,6.01,18.64,1005.41,40.78,65.46,Warning
974803,6.01,18.64,1005.40,40.94,65.55,Warning
976823,6.01,18.63,1005.39,40.92,65.63,Warning
978843,5.68,18.62,1005.39,40.93,65.66,Warning
980863,5.68,18.63,1005.39,40.90,65.61,Warning
982883,6.01,18.63,1005.40,40.93,65.59,Warning
984903,6.35,18.63,1005.40,40.92,65.56,Warning
986925,6.35,18.63,1005.40,40.83,65.55,Warning
988945,6.18,18.63,1005.40,40.85,65.57,Warning
990965,6.35,18.63,1005.40,40.90,65.54,Warning
992985,6.69,18.63,1005.40,40.89,65.54,Warning
